,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.04725300463371232,0.1205663658725191,-0.39192526283553497,0.6951134362083682,-0.28355873949072885,0.18905273022330418
seconds_after_rat_arrival,0.0002638289977931153,0.0003444803150396827,0.7658753962841776,0.44375044675209496,-0.0004113400130676743,0.0009389980086539049
rat_presence_duration,-8.575810715742992e-05,0.0002212842401508459,-0.3875472880444174,0.6983510838476547,-0.0005194672481994001,0.00034795103388454024
