x,y,r,p_value
risk,seconds_after_rat_arrival,0.022139050019207827,0.5054676528207147
risk,rat_presence_duration,0.002930807301255849,0.9297622640231162
reward,seconds_after_rat_arrival,-0.023902525004899672,0.47216003396373507
